dblpAuthorName,dblpOrcid,VisibleOrcid,orcidWithData,doi,matchStepName,predictedAuthorFamilyName,predictedAuthorGivenName,predictedOrcid
Jian Dai,0000-0001-5039-1626,false,false,10.1016/j.media.2023.102987,fullName,Dai,Jian,0009-0002-8615-7203
Jian Dai,0000-0001-5039-1626,false,false,10.1117/12.2653371,fullName,Dai,Jian,0009-0002-8615-7203
Yidan Teng,0000-0001-5052-4070,true,false,10.3390/rs10040592,fullName,Teng,Yidan,0009-0001-6585-8951
Tetsuya Hoya,0000-0001-5097-4389,true,false,10.1016/j.array.2022.100161,fullName,Hoya,Tetsuya,0009-0002-0601-1811
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/jiot.2018.2812300,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2024.3424673,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/lra.2023.3301720,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tiv.2022.3161785,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2022.3144867,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tmc.2021.3108067,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tiv.2024.3385531,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2020.3012034,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2020.3044221,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2023.3315070,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/lcomm.2020.2980825,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/taes.2018.2826201,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tvt.2018.2807921,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tvt.2022.3171000,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2019.2916354,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/lra.2024.3414270,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tcomm.2018.2868080,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tgcn.2018.2856363,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/jsac.2023.3344109,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/jsac.2023.3344091,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tcst.2020.3024586,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tiv.2022.3144341,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2023.3240104,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2023.3287912,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/lra.2021.3137888,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tiv.2019.2960935,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2022.3149373,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tccn.2023.3276992,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2020.3028424,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tiv.2024.3371974,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2019.2892405,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tits.2024.3382495,fullName,Dianati,Mehrdad,0009-0001-6971-0348
Mehrdad Dianati,0000-0001-5119-4499,true,false,10.1109/tccn.2020.3007901,fullName,Dianati,Mehrdad,0009-0001-6971-0348
John Singh K,0000-0001-5143-7446,true,false,10.1007/s13198-022-01674-6,fullName,K,John Singh,0000-0002-2674-488X
Lucy Ham,0000-0001-5177-4434,true,false,10.1007/s11225-017-9710-7,fullName,Ham,Lucy,0000-0002-5168-1083
Cong Yang,0000-0001-5230-7942,false,false,10.1109/tvcg.2020.3003994,fullName,Yang,Cong,0000-0002-8314-0935
Cong Yang,0000-0001-5230-7942,false,false,10.1007/s11263-023-01926-3,fullName,Yang,Cong,0000-0002-8314-0935
Cong Yang,0000-0001-5230-7942,false,false,10.1109/tcss.2018.2812825,fullName,Yang,Cong,0000-0002-8314-0935
Feng Wang,0000-0001-5308-2116,false,false,10.3390/ijgi7110431,fullName,Wang,Feng,0000-0003-4002-8334
Jesus Urena,0000-0001-5326-0752,false,false,10.3390/s20102794,fullName,Urena,Jesus,0000-0003-1408-6039
Jesus Urena,0000-0001-5326-0752,false,false,10.3390/s21061950,fullName,Urena,Jesus,0000-0003-1408-6039
Gabriel Aguirre-Ollinger,0000-0001-5377-215X,true,false,10.1016/j.robot.2015.09.015,orderedTokens,Aguirre Ollinger,Gabriel,0000-0003-3834-9171
Gabriel Aguirre-Ollinger,0000-0001-5377-215X,true,false,10.1007/s10514-015-9490-8,orderedTokens,Aguirre Ollinger,Gabriel,0000-0003-3834-9171
Valentina Nikolova,0000-0001-5384-1485,true,true,10.1007/978-3-319-68486-4_20,fullName,Nikolova,Valentina,0000-0002-6455-4761
Mily Lal,0000-0001-5400-7011,true,false,10.1007/s00779-023-01713-4,fullName,Lal,Mily,0000-0002-6957-1659
Xin Zhou,0000-0001-5416-3954,true,false,10.1109/tmi.2018.2882209,fullName,zhou,xin,0000-0002-5580-7907
Xin Zhou,0000-0001-5416-3954,true,false,10.1109/tcyb.2018.2810832,fullName,zhou,xin,0000-0002-5580-7907
Selcuk Aslan,0000-0001-5420-5894,true,false,10.1155/2019/5012313,fullName,Aslan,Selcuk,0000-0002-9145-239X
Zhenhua Wang,0000-0001-5473-1499,true,false,10.1109/tnnls.2022.3173179,fullName,Wang,Zhenhua,0009-0009-0097-188X
Qiaomei Han,0000-0001-5535-8390,false,false,10.3390/s22030779,fullName,Han,Qiaomei,0000-0002-7048-1562
Hsiang-Chieh Yang,0000-0001-5622-4191,true,true,10.1109/tbdata.2018.2810187,fullName,Yang,Hsiang-Chieh,0000-0002-6090-1500
Riccardo Zanella,0000-0001-5764-9896,true,true,10.3233/978-1-61499-843-3-550,fullName,Zanella,Riccardo,0000-0002-2624-7947
Seth Bernstein,0000-0001-5767-1057,true,false,10.1145/3636243.3636245,fullName,Bernstein,Seth,0000-0002-7552-5448
Seth Bernstein,0000-0001-5767-1057,true,false,10.1145/3545945.3569785,fullName,Bernstein,Seth,0000-0002-7552-5448
Yang-yang Liu,0000-0001-5793-7169,true,false,10.1016/j.eswa.2023.121098,fullNameStrip,Liu,Yangyang,0009-0001-0539-338X
Ivan Perez-Santos,0000-0001-5804-9761,true,true,10.3390/rs13020181,orderedTokens,,Ivan Perez-Santos,0000-0002-0184-1122
Mohamed A. Hassan,0000-0001-5954-2902,true,true,10.1109/ssd.2017.8166926,orderedTokens,Hassan,Mohamed,0009-0001-9128-8251
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/isie.2015.7281695,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/iecon.2013.6699350,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/iecon.2012.6389194,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/isie.2015.7281691,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/tie.2012.2193858,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/iecon.2012.6388657,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/iecon.2013.6699359,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/tie.2008.918478,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/tie.2008.918480,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/isie.2015.7281527,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Carlos Gustavo C. Branco,0000-0001-5974-7043,true,true,10.1109/isie.2015.7281511,orderedTokens,Castelo Branco,Carlos Gustavo,0000-0002-2598-6246
Weijia Wu,0000-0001-6011-5174,false,false,10.1007/978-3-031-41679-8_23,fullName,wu,weijia,0000-0003-3912-7212
Muhammad Arsalan,0000-0001-6024-3117,false,false,10.1109/access.2021.3068477,fullName,Arsalan,Muhammad,0000-0003-1868-5207
Muhammad Arsalan,0000-0001-6024-3117,false,false,10.1109/access.2020.3019183,fullName,Arsalan,Muhammad,0000-0003-1868-5207
Muhammad Arsalan,0000-0001-6024-3117,false,false,10.1109/tcbb.2022.3211936,fullName,Arsalan,Muhammad,0000-0003-1868-5207
Muhammad Arsalan,0000-0001-6024-3117,false,false,10.1109/access.2020.3008899,fullName,Arsalan,Muhammad,0000-0003-1868-5207
Zhipeng Lin,0000-0001-6111-9687,true,true,10.3390/s22187004,fullName,Lin,Zhipeng,0000-0001-5941-2163
Qiuliang Wang,0000-0001-6137-6763,true,false,10.1109/tim.2022.3147885,fullName,Wang,Qiuliang,0000-0001-5987-4069
Chengdong Wu,0000-0001-6152-3671,true,false,10.1109/access.2020.3001041,fullName,Wu,Chengdong,0000-0001-9906-5493
Qianggang Wang,0000-0001-6219-227X,true,false,10.1109/tim.2022.3200116,fullName,Wang,Qianggang,0000-0002-9543-7760
Qianggang Wang,0000-0001-6219-227X,true,false,10.1109/tsg.2021.3057852,fullName,Wang,Qianggang,0000-0002-9543-7760
Qianggang Wang,0000-0001-6219-227X,true,false,10.1109/tsg.2018.2880680,fullName,Wang,Qianggang,0000-0002-9543-7760
Qianggang Wang,0000-0001-6219-227X,true,false,10.1109/tsg.2022.3150074,fullName,Wang,Qianggang,0000-0002-9543-7760
Qianggang Wang,0000-0001-6219-227X,true,false,10.1109/tie.2022.3227266,fullName,Wang,Qianggang,0000-0002-9543-7760
Qianggang Wang,0000-0001-6219-227X,true,false,10.1109/tsg.2019.2941874,fullName,Wang,Qianggang,0000-0002-9543-7760
Adel Oubelaid,0000-0001-6283-1123,false,false,10.1109/access.2023.3321695,fullName,oubelaid,Adel,0000-0003-2659-5631
Adel Oubelaid,0000-0001-6283-1123,false,false,10.1109/access.2022.3178956,fullName,oubelaid,Adel,0000-0003-2659-5631
Jiong Zhang,0000-0001-6310-7663,false,false,10.1109/tim.2023.3253895,fullName,Zhang,Jiong,0009-0001-9524-0511
Hongwei Xing,0000-0001-6379-5881,true,true,10.1007/s10479-021-04166-1,fullName,Xing,Hongwei,0000-0002-7712-7611
Yue Ma,0000-0001-6417-8383,true,false,10.1016/j.disc.2021.112565,fullName,Ma,Yue,0009-0002-2299-4555
Shuming Zhou,0000-0001-6481-3981,true,false,10.1016/j.jocs.2023.101972,fullName,Zhou,Shuming,0000-0002-2114-7162
Manuel Goyanes,0000-0001-6537-9777,false,false,10.1177/1461444820967679,fullName,Goyanes,Manuel,0000-0001-8329-0610
Manuel Goyanes,0000-0001-6537-9777,false,false,10.1177/14614448211047850,fullName,Goyanes,Manuel,0000-0001-8329-0610
Anders L. Madsen,0000-0001-6594-1029,true,true,10.1007/978-3-031-45608-4_2,orderedTokens,Madsen,Anders L,0000-0003-0633-9411
Zhengxin Jiang,0000-0001-6619-861X,true,false,10.1109/tim.2022.3199253,fullName,JIANG,ZHENGXIN,0000-0002-9358-3238
Abdullah S. Al-Malaise Al-Ghamdi,0000-0001-6676-7456,true,true,10.3390/sym12081354,Jaro-Winkler OrderedToken,AL-Malaise,Abdullah,0000-0001-9259-4536
Pramod Kumar Parida,0000-0001-6730-1682,true,true,10.1016/j.cnsns.2017.04.018,fullName,Parida,Pramod Kumar,0009-0007-7857-0061
Pramod Kumar Parida,0000-0001-6730-1682,true,true,10.1016/j.neunet.2018.03.013,fullName,Parida,Pramod Kumar,0009-0007-7857-0061
Tauseef Jamal,0000-0001-6825-9076,true,true,10.1109/ntms.2012.6208748,fullName,jamal,tauseef,0000-0003-4965-0322
Tauseef Jamal,0000-0001-6825-9076,true,true,10.1109/wd.2013.6686497,fullName,jamal,tauseef,0000-0003-4965-0322
Tauseef Jamal,0000-0001-6825-9076,true,true,10.1109/wimob.2010.5644850,fullName,jamal,tauseef,0000-0003-4965-0322
Tauseef Jamal,0000-0001-6825-9076,true,true,10.1109/mcom.2014.6979947,fullName,jamal,tauseef,0000-0003-4965-0322
Tauseef Jamal,0000-0001-6825-9076,true,true,10.1145/2079327.2079338,fullName,jamal,tauseef,0000-0003-4965-0322
Tauseef Jamal,0000-0001-6825-9076,true,true,10.1016/j.procs.2015.07.224,fullName,jamal,tauseef,0000-0003-4965-0322
Man Chen,0000-0001-6834-3331,true,false,10.1016/j.cmpb.2022.106698,fullName,Chen,Man,0009-0006-4599-7328
Man Chen,0000-0001-6834-3331,true,false,10.1016/j.compbiomed.2022.105920,fullName,Chen,Man,0009-0006-4599-7328
Xin Liu,0000-0001-6862-0386,false,false,10.1109/jbhi.2018.2821136,fullName,Liu,Xin,0000-0002-9279-5386
Haolin Liang,0000-0001-6865-5650,true,false,10.1111/tgis.12330,fullName,Liang,Haolin,0000-0002-0152-0417
Haolin Liang,0000-0001-6865-5650,true,false,10.1080/13658816.2017.1324976,fullName,Liang,Haolin,0000-0002-0152-0417
Diego Renan Bruno,0000-0001-6905-6422,true,false,10.1109/access.2023.3287491,fullName,Bruno,Diego Renan,0009-0008-1806-0278
Zhu Zhu,0000-0001-7060-9207,true,false,10.1016/j.neucom.2015.04.129,fullName,Zhu,Zhu,0000-0001-8868-2525
Christopher E. Ndehedehe,0000-0001-7077-9492,true,true,10.1016/j.patcog.2020.107298,fullName,Ndehedehe,Christopher E.,0000-0003-1906-9764
Rajesh Manoharan,0000-0001-7095-625X,true,false,10.1109/access.2021.3081567,fullName,Manoharan,Rajesh,0000-0003-0003-473X
M. Rajesh,0000-0001-7095-625X,true,false,10.1109/tce.2024.3368087,orderedTokens,Manoharan,Rajesh,0000-0003-0003-473X
Rajesh Manoharan,0000-0001-7095-625X,true,false,10.1109/tii.2021.3139609,fullName,Manoharan,Rajesh,0000-0003-0003-473X
Rajesh Manoharan,0000-0001-7095-625X,true,false,10.1109/tii.2021.3107556,fullName,Manoharan,Rajesh,0000-0003-0003-473X
Rajesh Manoharan,0000-0001-7095-625X,true,false,10.1109/jsyst.2020.3025407,fullName,Manoharan,Rajesh,0000-0003-0003-473X
Tran Dong Xuan,0000-0001-7103-5698,true,true,10.1016/j.aml.2018.03.016,orderedTokens,Xuan,TRAN,0000-0002-6485-7260
Lei Shi,0000-0001-7119-3207,true,true,10.1007/s11063-021-10626-3,fullName,shi,lei,0000-0001-8324-1333
Petra Wiederkehr,0000-0001-7147-8034,true,true,10.1007/s11740-018-0822-3,fullName,Wiederkehr,Petra,0000-0001-9728-5636
Jeeoot Singh,0000-0001-7149-2020,true,false,10.1016/j.camwa.2019.10.026,fullName,Singh,Jeeoot,0000-0002-1071-6198
Swapna B. Sasi,0000-0001-7158-5534,true,false,10.1002/dac.4270,orderedTokens,sasi,swapna,0000-0002-6153-778X
Srinivas Soumitri Miriyala,0000-0001-7158-9295,true,false,10.1109/embc.2018.8513414,orderedTokens,Miriyala,Srinivas,0000-0002-7130-3637
Babar Shah,0000-0001-7190-550X,true,false,10.1155/2018/9612631,fullName,shah,babar,0000-0002-5090-4695
Babar Shah,0000-0001-7190-550X,true,false,10.1155/2014/837457,fullName,shah,babar,0000-0002-5090-4695
Wei Wang,0000-0001-7289-1883,true,false,10.1109/lwc.2023.3275283,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/twc.2023.3263850,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/tvt.2020.2992534,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/twc.2018.2805915,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/twc.2021.3073140,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/lcomm.2023.3267426,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/jsac.2022.3180787,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/tcomm.2019.2948340,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/tvt.2020.3023926,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/twc.2017.2705679,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/tcomm.2020.2965517,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/comst.2022.3225137,fullName,Wang,Wei,0000-0002-3077-1012
Wei Wang,0000-0001-7289-1883,true,false,10.1109/twc.2021.3118558,fullName,Wang,Wei,0000-0002-3077-1012
Pu Du,0000-0001-7306-7722,true,false,10.1016/j.compchemeng.2025.109162,fullName,Du,Pu,0009-0009-9544-2533
Gabriela Leal,0000-0001-7349-7642,true,false,10.1007/978-3-319-66963-2_39,fullName,Leal,Gabriela,0009-0003-3911-4347
Gisela Gaina,0000-0001-7415-5281,false,false,10.3390/sym14122676,fullName,gaina,gisela,0009-0007-2582-3248
Danilo Vasconcellos Vargas,0000-0001-7442-1279,true,false,10.1109/tnnls.2016.2551748,orderedTokens,Vargas,Danilo,0000-0002-0232-0740
Jose Guadalupe Romero,0000-0001-7505-0182,true,false,10.1109/tcsi.2023.3300772,orderedTokens,Romero Velazquez,Jose Guadalupe,0000-0002-9752-9095
Jose Guadalupe Romero,0000-0001-7505-0182,true,false,10.1109/tac.2023.3264744,orderedTokens,Romero Velazquez,Jose Guadalupe,0000-0002-9752-9095
Jose Guadalupe Romero,0000-0001-7505-0182,true,false,10.1109/tcst.2019.2945915,orderedTokens,Romero Velazquez,Jose Guadalupe,0000-0002-9752-9095
Jose Guadalupe Romero,0000-0001-7505-0182,true,false,10.1109/lcsys.2022.3186621,orderedTokens,Romero Velazquez,Jose Guadalupe,0000-0002-9752-9095
Jose Guadalupe Romero,0000-0001-7505-0182,true,false,10.1109/tac.2019.2949876,orderedTokens,Romero Velazquez,Jose Guadalupe,0000-0002-9752-9095
Jose Guadalupe Romero,0000-0001-7505-0182,true,false,10.1109/tcst.2022.3147336,orderedTokens,Romero Velazquez,Jose Guadalupe,0000-0002-9752-9095
T. Suneetha Rani,0000-0001-7569-667X,true,false,10.1007/s13198-018-0703-3,orderedTokens,rani,suneetha,0000-0002-8576-0791
Dimitris T. Lagos,0000-0001-7660-5573,true,true,10.1109/icton51198.2020.9203010,Jaro-Winkler OrderedToken,Lagos,Dimitrios,0000-0003-3351-6727
Li-Chieh Kuo,0000-0001-7728-0096,false,false,10.1109/tbme.2022.3152151,fullName,Kuo,Li-Chieh,0000-0002-5644-655X
Donghe Li,0000-0001-7762-4581,true,false,10.1109/tcbb.2018.2854793,fullName,Li,Donghe,0000-0001-6773-3143
Ibrahim Abdullahi,0000-0001-7766-9288,true,false,10.1016/j.jnca.2015.06.011,fullName,ABDULLAHI,IBRAHIM,0000-0002-3467-1203
Yan Yao,0000-0001-7828-3803,true,false,10.1016/j.compbiomed.2021.104386,fullName,Yao,Yan,0000-0001-8514-6997
Yan Yao,0000-0001-7828-3803,true,false,10.1016/j.compbiomed.2021.104368,fullName,Yao,Yan,0000-0001-8514-6997
G. Sucharitha Reddy,0000-0001-7861-2451,true,false,10.1007/s11042-024-18521-4,orderedTokens,G,Sucharitha,0000-0002-3356-350X
G. Sucharitha,0000-0001-7861-2451,true,false,10.1145/3604617,orderedTokens,G,Sucharitha,0000-0002-3356-350X
Seema R. Singh,0000-0001-7902-4205,true,false,10.4018/jeco.2020040101,orderedTokens,Singh,Seema,0000-0003-0816-909X
Yang Deng,0000-0001-7913-3858,true,false,10.1109/access.2019.2917932,fullName,Deng,Yang,0000-0001-9420-8467
Patricia M. Clark,0000-0001-7981-5357,true,true,10.1093/jamia/ocv062,fullName,Clark,Patricia M.,0000-0002-6442-2064
Kavita Sheoran,0000-0001-7989-3443,true,false,10.1002/spe.2562,fullName,Sheoran,Kavita,0000-0001-7985-9288
Zhuo Liu,0000-0001-7999-0171,true,false,10.1109/access.2019.2957416,fullName,LIU,Zhuo,0000-0001-9356-8989
Xingfeng Chen,0000-0001-8024-1872,false,false,10.3390/rs9060578,fullName,Chen,Xingfeng,0000-0002-9035-363X
Xingfeng Chen,0000-0001-8024-1872,false,false,10.3390/rs9060513,fullName,Chen,Xingfeng,0000-0002-9035-363X
Xingfeng Chen,0000-0001-8024-1872,false,false,10.3390/rs8050417,fullName,Chen,Xingfeng,0000-0002-9035-363X
Zhihan Lv,0000-0001-8164-1405,true,false,10.1109/tits.2021.3067040,Jaro-Winkler OrderedToken,Lyu,Zhihan,0000-0003-2525-3074
Zhihan Lv,0000-0001-8164-1405,true,false,10.1109/tits.2020.2980864,Jaro-Winkler OrderedToken,Lyu,Zhihan,0000-0003-2525-3074
Zhihan Lv,0000-0001-8164-1405,true,false,10.1109/tits.2020.3017183,Jaro-Winkler OrderedToken,Lyu,Zhihan,0000-0003-2525-3074
Zhihan Lv,0000-0001-8164-1405,true,false,10.1109/tits.2020.3019756,Jaro-Winkler OrderedToken,Lyu,Zhihan,0000-0003-2525-3074
Zhihan Lv,0000-0001-8164-1405,true,false,10.1109/tits.2020.3008884,Jaro-Winkler OrderedToken,Lyu,Zhihan,0000-0003-2525-3074
Zhihan Lv,0000-0001-8164-1405,true,false,10.1109/tits.2021.3113787,Jaro-Winkler OrderedToken,Lyu,Zhihan,0000-0003-2525-3074
Hassan Haes Alhelou,0000-0001-8176-1589,true,false,10.1109/access.2021.3053390,fullName,Haes Alhelou,Hassan,0000-0002-7427-2848
Hassan Haes Alhelou,0000-0001-8176-1589,true,false,10.1109/access.2021.3055422,fullName,Haes Alhelou,Hassan,0000-0002-7427-2848
